Fetching GPS data...
Latitude: 30.374272, Longitude: 130.960030, Satellites: 13, Time: 225913, DOP: 0.72
Latitude: 30.374272, Longitude: 130.960030, Satellites: 13, Time: 225914, DOP: 0.72
Latitude: 30.374270, Longitude: 130.960030, Satellites: 13, Time: 225915, DOP: 0.72
Latitude: 30.374272, Longitude: 130.960030, Satellites: 13, Time: 225916, DOP: 0.72
Latitude: 30.374272, Longitude: 130.960030, Satellites: 13, Time: 225917, DOP: 0.72
Latitude: 30.374272, Longitude: 130.960030, Satellites: 13, Time: 225918, DOP: 0.72
Latitude: 30.374272, Longitude: 130.960028, Satellites: 13, Time: 225919, DOP: 0.72
Latitude: 30.374273, Longitude: 130.960028, Satellites: 13, Time: 225920, DOP: 0.74
Latitude: 30.374273, Longitude: 130.960028, Satellites: 13, Time: 225921, DOP: 0.74
Latitude: 30.374275, Longitude: 130.960028, Satellites: 13, Time: 225922, DOP: 0.74
Latitude: 30.374277, Longitude: 130.960028, Satellites: 13, Time: 225923, DOP: 0.74
Latitude: 30.374277, Longitude: 130.960028, Satellites: 13, Time: 225924, DOP: 0.72
Latitude: 30.374278, Longitude: 130.960028, Satellites: 13, Time: 225925, DOP: 0.74
Latitude: 30.374278, Longitude: 130.960028, Satellites: 13, Time: 225926, DOP: 0.72
Latitude: 30.374278, Longitude: 130.960027, Satellites: 13, Time: 225927, DOP: 0.72
Latitude: 30.374278, Longitude: 130.960027, Satellites: 13, Time: 225928, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960027, Satellites: 13, Time: 225929, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960027, Satellites: 13, Time: 225930, DOP: 0.74
Latitude: 30.374282, Longitude: 130.960025, Satellites: 13, Time: 225931, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960025, Satellites: 13, Time: 225932, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960023, Satellites: 13, Time: 225933, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960022, Satellites: 13, Time: 225934, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960020, Satellites: 13, Time: 225935, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960017, Satellites: 13, Time: 225936, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960015, Satellites: 13, Time: 225937, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960015, Satellites: 13, Time: 225938, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960013, Satellites: 13, Time: 225939, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960012, Satellites: 13, Time: 225940, DOP: 0.72
Latitude: 30.374280, Longitude: 130.960010, Satellites: 13, Time: 225941, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960010, Satellites: 13, Time: 225942, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960008, Satellites: 13, Time: 225943, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960008, Satellites: 13, Time: 225944, DOP: 0.72
Latitude: 30.374282, Longitude: 130.960007, Satellites: 13, Time: 225945, DOP: 0.72
Latitude: 30.374283, Longitude: 130.960005, Satellites: 13, Time: 225946, DOP: 0.72
Latitude: 30.374283, Longitude: 130.960005, Satellites: 13, Time: 225947, DOP: 0.72
Latitude: 30.374283, Longitude: 130.960003, Satellites: 13, Time: 225948, DOP: 0.72
Latitude: 30.374285, Longitude: 130.960002, Satellites: 13, Time: 225949, DOP: 0.72
Latitude: 30.374285, Longitude: 130.960002, Satellites: 13, Time: 225950, DOP: 0.72
Latitude: 30.374285, Longitude: 130.960000, Satellites: 13, Time: 225951, DOP: 0.72
Latitude: 30.374285, Longitude: 130.960000, Satellites: 13, Time: 225952, DOP: 0.72
Latitude: 30.374285, Longitude: 130.960000, Satellites: 13, Time: 225953, DOP: 0.72
Latitude: 30.374287, Longitude: 130.960000, Satellites: 13, Time: 225954, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959998, Satellites: 13, Time: 225955, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959998, Satellites: 13, Time: 225956, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959998, Satellites: 13, Time: 225957, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959998, Satellites: 13, Time: 225958, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959998, Satellites: 13, Time: 225959, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959998, Satellites: 13, Time: 230000, DOP: 0.74
Latitude: 30.374290, Longitude: 130.959998, Satellites: 13, Time: 230001, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959998, Satellites: 13, Time: 230002, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959997, Satellites: 13, Time: 230003, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959997, Satellites: 13, Time: 230004, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959997, Satellites: 13, Time: 230005, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959997, Satellites: 13, Time: 230006, DOP: 0.72
Latitude: 30.374292, Longitude: 130.959997, Satellites: 13, Time: 230007, DOP: 0.72
Latitude: 30.374292, Longitude: 130.959997, Satellites: 13, Time: 230008, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959997, Satellites: 13, Time: 230009, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230010, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230011, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230012, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230013, DOP: 0.72
Latitude: 30.374292, Longitude: 130.959995, Satellites: 13, Time: 230014, DOP: 0.72
Latitude: 30.374292, Longitude: 130.959993, Satellites: 13, Time: 230015, DOP: 0.72
Latitude: 30.374292, Longitude: 130.959993, Satellites: 13, Time: 230016, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230017, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230018, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959995, Satellites: 13, Time: 230019, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959995, Satellites: 13, Time: 230020, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959993, Satellites: 13, Time: 230021, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959993, Satellites: 13, Time: 230022, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959992, Satellites: 13, Time: 230023, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959992, Satellites: 13, Time: 230024, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959990, Satellites: 13, Time: 230025, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959988, Satellites: 13, Time: 230026, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959988, Satellites: 13, Time: 230027, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959987, Satellites: 13, Time: 230028, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959987, Satellites: 13, Time: 230029, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230030, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230031, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230032, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230033, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230034, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230035, DOP: 0.74
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230036, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230037, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230038, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959992, Satellites: 13, Time: 230039, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959992, Satellites: 13, Time: 230040, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230041, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230042, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230043, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230044, DOP: 0.74
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230045, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230046, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959992, Satellites: 13, Time: 230047, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959992, Satellites: 13, Time: 230048, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959990, Satellites: 13, Time: 230049, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959990, Satellites: 13, Time: 230050, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959990, Satellites: 13, Time: 230051, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959990, Satellites: 13, Time: 230052, DOP: 0.74
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230053, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230054, DOP: 0.74
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230055, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230056, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959988, Satellites: 13, Time: 230057, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230058, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230059, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959990, Satellites: 13, Time: 230100, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959990, Satellites: 13, Time: 230101, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959992, Satellites: 13, Time: 230102, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230103, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230104, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230105, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230106, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230107, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230108, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230109, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230110, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230111, DOP: 0.72
Latitude: 30.374290, Longitude: 130.959993, Satellites: 13, Time: 230112, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959993, Satellites: 13, Time: 230113, DOP: 0.72
Latitude: 30.374288, Longitude: 130.959993, Satellites: 13, Time: 230114, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230115, DOP: 0.72
Latitude: 30.374287, Longitude: 130.959993, Satellites: 13, Time: 230116, DOP: 0.72
Latitude: 30.374285, Longitude: 130.959995, Satellites: 13, Time: 230117, DOP: 0.72
